Unit 0 sees 23 units.
Unit 1 sees 29 units.
Unit 2 sees 29 units.
Unit 3 sees 27 units.
Unit 4 sees 27 units.
Unit 5 sees 42 units.
Unit 6 sees 34 units.
Unit 7 sees 32 units.
Unit 8 sees 21 units.
Unit 9 sees 23 units.
Unit 10 sees 34 units.
Unit 11 sees 30 units.
Unit 12 sees 39 units.
Unit 13 sees 32 units.
Unit 14 sees 29 units.
Unit 15 sees 29 units.
Unit 16 sees 32 units.
Unit 17 sees 24 units.
Unit 18 sees 28 units.
Unit 19 sees 32 units.
Unit 20 sees 24 units.
Unit 21 sees 28 units.
Unit 22 sees 26 units.
Unit 23 sees 34 units.
Unit 24 sees 28 units.
Unit 25 sees 30 units.
Unit 26 sees 35 units.
Unit 27 sees 30 units.
Unit 28 sees 29 units.
Unit 29 sees 19 units.
Unit 30 sees 27 units.
Unit 31 sees 29 units.
Unit 32 sees 22 units.
Unit 33 sees 29 units.
Unit 34 sees 29 units.
Unit 35 sees 22 units.
Unit 36 sees 26 units.
Unit 37 sees 28 units.
Unit 38 sees 31 units.
Unit 39 sees 41 units.
Unit 40 sees 33 units.
Unit 41 sees 26 units.
Unit 42 sees 30 units.
Unit 43 sees 25 units.
Unit 44 sees 31 units.
Unit 45 sees 14 units.
Unit 46 sees 25 units.
Unit 47 sees 33 units.
Unit 48 sees 33 units.
Unit 49 sees 26 units.
Unit 50 sees 31 units.
Unit 51 sees 30 units.
Unit 52 sees 30 units.
Unit 53 sees 29 units.
Unit 54 sees 11 units.
Unit 55 sees 22 units.
Unit 56 sees 31 units.
Unit 57 sees 28 units.
Unit 58 sees 31 units.
Unit 59 sees 30 units.
Unit 60 sees 25 units.
Unit 61 sees 30 units.
Unit 62 sees 35 units.
Unit 63 sees 42 units.
Unit 64 sees 33 units.
Unit 65 sees 30 units.
Unit 66 sees 38 units.
Unit 67 sees 36 units.
Unit 68 sees 21 units.
Unit 69 sees 38 units.
Unit 70 sees 24 units.
Unit 71 sees 29 units.
Unit 72 sees 33 units.
Unit 73 sees 17 units.
Unit 74 sees 26 units.
Unit 75 sees 24 units.
Unit 76 sees 26 units.
Unit 77 sees 31 units.
Unit 78 sees 24 units.
Unit 79 sees 36 units.
Unit 80 sees 27 units.
Unit 81 sees 31 units.
Unit 82 sees 36 units.
Unit 83 sees 25 units.
Unit 84 sees 23 units.
Unit 85 sees 32 units.
Unit 86 sees 24 units.
Unit 87 sees 33 units.
Unit 88 sees 30 units.
Unit 89 sees 26 units.
Unit 90 sees 22 units.
Unit 91 sees 24 units.
Unit 92 sees 25 units.
Unit 93 sees 25 units.
Unit 94 sees 30 units.
Unit 95 sees 34 units.
Unit 96 sees 30 units.
Unit 97 sees 33 units.
Unit 98 sees 28 units.
Unit 99 sees 33 units.
Unit 100 sees 34 units.
Unit 101 sees 38 units.
Unit 102 sees 31 units.
Unit 103 sees 29 units.
Unit 104 sees 35 units.
Unit 105 sees 38 units.
Unit 106 sees 21 units.
Unit 107 sees 24 units.
Unit 108 sees 26 units.
Unit 109 sees 28 units.
Unit 110 sees 30 units.
Unit 111 sees 26 units.
Unit 112 sees 35 units.
Unit 113 sees 29 units.
Unit 114 sees 35 units.
Unit 115 sees 27 units.
Unit 116 sees 24 units.
Unit 117 sees 31 units.
Unit 118 sees 25 units.
Unit 119 sees 20 units.
Unit 120 sees 39 units.
Unit 121 sees 25 units.
Unit 122 sees 24 units.
Unit 123 sees 34 units.
Unit 124 sees 19 units.
Unit 125 sees 29 units.
Unit 126 sees 23 units.
Unit 127 sees 26 units.
Unit 128 sees 28 units.
Unit 129 sees 32 units.
Unit 130 sees 35 units.
Unit 131 sees 30 units.
Unit 132 sees 24 units.
Unit 133 sees 32 units.
Unit 134 sees 23 units.
Unit 135 sees 33 units.
Unit 136 sees 30 units.
Unit 137 sees 22 units.
Unit 138 sees 32 units.
Unit 139 sees 37 units.
Unit 140 sees 29 units.
Unit 141 sees 30 units.
Unit 142 sees 23 units.
Unit 143 sees 27 units.
Unit 144 sees 34 units.
Unit 145 sees 21 units.
Unit 146 sees 30 units.
Unit 147 sees 27 units.
Unit 148 sees 26 units.
Unit 149 sees 19 units.
Unit 150 sees 34 units.
Unit 151 sees 20 units.
Unit 152 sees 27 units.
Unit 153 sees 34 units.
Unit 154 sees 25 units.
Unit 155 sees 31 units.
Unit 156 sees 29 units.
Unit 157 sees 34 units.
Unit 158 sees 36 units.
Unit 159 sees 28 units.
Unit 160 sees 29 units.
Unit 161 sees 25 units.
Unit 162 sees 30 units.
Unit 163 sees 30 units.
Unit 164 sees 26 units.
Unit 165 sees 26 units.
Unit 166 sees 22 units.
Unit 167 sees 32 units.
Unit 168 sees 34 units.
Unit 169 sees 35 units.
Unit 170 sees 28 units.
Unit 171 sees 30 units.
Unit 172 sees 29 units.
Unit 173 sees 28 units.
Unit 174 sees 23 units.
Unit 175 sees 25 units.
Unit 176 sees 8 units.
Unit 177 sees 23 units.
Unit 178 sees 33 units.
Unit 179 sees 16 units.
Unit 180 sees 32 units.
Unit 181 sees 29 units.
Unit 182 sees 34 units.
Unit 183 sees 26 units.
Unit 184 sees 35 units.
Unit 185 sees 26 units.
Unit 186 sees 28 units.
Unit 187 sees 27 units.
Unit 188 sees 30 units.
Unit 189 sees 20 units.
Unit 190 sees 28 units.
Unit 191 sees 29 units.
Unit 192 sees 21 units.
Unit 193 sees 22 units.
Unit 194 sees 34 units.
Unit 195 sees 27 units.
Unit 196 sees 24 units.
Unit 197 sees 30 units.
Unit 198 sees 18 units.
